Steel Type,Steel Grade,International Grade,Special Chemical Composition,C,Si,Mn,Cr,Mo,Ni,V,W,Steel Properties,Delivery Condition (HB),Austenitizing Temperature Bottom Range (C) ,Austenitizing Temperature Upper Range (C) ,Quenching Media,200,300,400,500,550,600,Tensile Strength Lower Range (N/mm2),Tensile Strength Upper Range (N/mm2),Yield Strength (N/mm2),Application
COLD WORK TOOL STEELS,SKS 3,2510,,0.95,0.25,1.1,0.6,,,0.1,0.6,Oil hardening steel with medium wear resistance and toughness. Good machinability for general cold work application.,200,780,820,Oil,60,56,51,44,40,37,,,,"Wood working tool, cutting blades, sizing and stamping tool for medium run, bending die."
COLD WORK TOOL STEELS,SKD 11,2379,,1.55,0.25,0.3,11.5,0.7,,1,,"Air hardening steel with good hardenability, high wear resistance, good toughness, high compressive strength and good dimensional stability.",215,1020,1050,"Oil, Air",60,58,58,59,56,51,,,,"High performance stamping tool, wood working, mould for abrasive plastic, plastic granulator blade, guide roll."
COLD WORK TOOL STEELS,SXACE,Patented AICHI Steel,SKD 11 Modified ,,,,,,,,,"Air hardening steel with good hardenability, good wear resistance, easy repair welding, high toughness, high compressive strength and good dimensional stability.",215,1020,1050,"Oil, Air",60,58,58,61,56,51,,,,"High performance stamping tool with better toughness than SKD 11. Critical blanking die, electrical appliances, progressive die."
COLD WORK TOOL STEELS,SKD 2,2436,,2.13,0.3,0.45,12,,,,0.75,"Air hardening steel with good hardenability, high wear resistance, good stability in hardening, good hardenability.",240,940,980,"Oil, Air",61,60,58,56,53,48,,,,"Long run stamping tool, ceramic liner, brick mould, guide roll, medicine tablet die."
COLD WORK TOOL STEELS,SX105V,Patented AICHI Steel,Flame Hardening Steel,,,,,,,,,"Easy to flame harden, wide temperature range for flame hardening, good through harden properties, good wear resistance as a result of high hardness.",220,825,875,Oil,60,58,54,47,43,40,,,,"Blanking die, forming die, trimming die, shear blade, especially for big automotive component die."
HOT WORK TOOL STEELS,SKT 4,2714,,0.55,0.25,0.75,1.1,0.45,1.7,0.1,,"Good hardenability, uniform hardness over sections also in great dimension. Resistance under impact loading. Good strength and toughness.",400,830,870,"Oil, Air",55,52,49,45,42,39,,,,"Hammer hot forging die, plastic mould, mandrel, embossing tool, hot press tool."
HOT WORK TOOL STEELS,SKD 61,2344,,0.4,1.05,0.4,5.15,1.35,,1,,"General hotwork application, good hot strength and toughness. Good temper resistance, good hardenability and nitride-ability.",200,1020,1040,"Oil, Air",52,51,52,54,53,50,,,,"Aluminium extrusion die, hot forging die, die sleeve, plunger sleeve, plunger tip."
HOT WORK TOOL STEELS,SKD 61 ESR,2344 ESR,,0.4,1.05,0.4,5.15,1.35,,1,,"Extra fine structure (EFS), uniform structure in all dimension. Good isotropy properties, good thermal fatigue resistance.",200,1020,1040,"Oil, Air",52,51,52,54,53,50,,,,"High / low pressure die casting die, hot wear resistance tool, pressing tool for light and heavy metal."
HOT WORK TOOL STEELS,EX 1 VICTORY,2343 Mod,,0.35,0.5,0.5,5,2,,0.55,,"In comparison with standard steel grade, EX 1 provides a high level of cleanliness, good isotropic properties, much better ductility and toughness.",200,1010,1040,"Oil, Air",54,53,52,53,53,50,,,,"Designed for high pressure die casting requiring high heat checking resistance, hot forging die, injection mould."
PLASTIC MOULD STEELS,2311,2311,,0.40,0.30,1.50,1.90,0.20,,,,"Supplied in hardened and tempered condition to 880-1080 N/mm2. Good machinability, good polishability, suitable for texturing.",290 - 330,830,880,"Oil, Air",50,48,46,42,39,36,,,,"Wide range of injection mould, forge drop hammer dies, intermediate boxes."
PLASTIC MOULD STEELS,2738,2738,,0.40,0.30,1.50,1.90,0.20,1.00,,,"Hardened and tempered to 950-1100 N/mm2. Excellent polishability, good machinability, suitable for texturing, better hardenability.",290 - 330,840,880,"Oil, Air",51,49,46,42,39,36,,,,"Large injection mould, synthetic plastic mould."
PLASTIC MOULD STEELS,XPM,2738 Mod,+ others,0.27,0.30,1.50,1.50,0.55,1.00,,,"Innovative high performance mould steel, prime polishability and texturing property, good thermal conductivity, good machinability, consistent hardness.",40 HRc,870,920,Oil,46,44,42,40,38,35,,,,Highly suitable for large-format plastic injection with high polished deep profile and high demands on core strength.
PLASTIC MOULD STEELS,2316,2316,,0.38,0.90,0.90,16.00,1.15,,,,"Prehardened stainless mould steel, good machinability.",290 - 330,1000,1040,Oil,47,46,46,47,38,32,,,,"Dies for pressing chemical aggressive compound. Mould base, core and cavity insert, big cavities."
PLASTIC MOULD STEELS,GEST 80 VICTORY,,Precipitation hardened steel,,,,,,,,,"Uniform through hardness even in heavy section, good machinability, good polishability, possibility of repair welding and nitriding, no need stress relieving.",40 HRc,,,,,,,,,,,,,"Injection mould with high demand on surface finish of non-corrosive plastic material, high demand on compressive strength of big mould."
PLASTIC MOULD STEELS,2083 VICTORY,2083 ESR,,0.40,0.30,0.70,13.00,,,,,"Stainless mould steel, high clean material, mirror polishability. Uniform structure (ESR properties), excellent for core and cavity.",220,1000,1040,"Oil, Air",55,54,52,54,54,50,,,,"Cavity and core insert with mirror finish. Dies for artificial resins, corrosive acting synthetic plastic."
HIGH SPEED STEELS,RAPIDUR 3343,3343,,0.9,,0.3,0.3,4.1,5,1.9,6.4,"High speed steel grade, well balanced alloy composition, good toughness and good cutting edge retention.",260,1190,1230,"Air, Hot Bath",62,61,62,64,64,62,,,,"Suitable for all metal cutting tools for roughing and finishing. Fine blanking, cold forging, nozzle, screw tips, blades."
HIGH SPEED STEELS,RAPIDUR 3344,3344,,1.22,,,,4.1,5,2.9,6.4,"High speed steel grade, higher V and C content resulting in combined wear resistance and cutting edge retention with good toughness.",270,1190,1230,"Air, Hot Bath",62,61,62,64,64,62,,,,"Taps, reamers, heavy duty milling cutter, dies, rotary gear shaping punches, piercing die, progressive die."
ALUMINIUM TOOLING,6061,,,,,,,,,,,"Alloy 6061 is excellent machinability, weldability and higher strength, good corrosion resistance, better polishability.",95,,,,,,,,,,,,,General structure parts which require light component.
ALUMINIUM TOOLING,7075,,,,,,,,,,,Alloy 7075 is used for highly stressed structural parts and tensile strength is harder than normal mild steel.,150,,,,,,,,,,,,,"Aircraft fitting, gears, shift regulating valve parts."
COPPER ALLOY,BeCu,,Be 1.9 Co + Ni 0.25,,,,,,,,,"High thermal conductivity, 3 to 4 times better than steel, ensures uniform rapid heat removal, minimizing distortion and warpage.",40 HRc,,,,,,,,,,,,,"Blow mould, pinch offs, neck ring and handle insert, injection mould, mould core, TV cabinet corner insert mould."
MACHINERY STEELS,S50C,CK 50,,0.5,0.3,0.7,,,,,,Medium carbon steel for general mechanical application.,180,820,850,"Oil, Water",,,,,,,600,800,400,"Mould base, backing plate, jigs, fixture."
MACHINERY STEELS,S55C,C 55,,0.55,0.3,0.8,0.3,,,,,"Medium-high carbon steel for applications requiring higher strength than normal S45C, especially used for bigger dimension.",200,820,850,"Oil, Water",,,,,,,625,825,500,"Base plate of stamping tool, high pressure die casting holder block."
MACHINERY STEELS,SCM440,7225,,0.41,0.2,0.75,1.05,0.25,,,,"Chromium, molybdenum-manganese low alloy steel noted for toughness, good torsional strength and good toughness.",290 - 330,820,850,Oil,,,,,,,800,1000,600,"Machinery parts and components, crank shafts, shaft."
MACHINERY STEELS,SCM439,6582,,0.35,0.3,0.65,1.5,0.25,1.6,,,"Heat treatable low alloy steel containing nickel, chromium and molybdenum. Known for toughness and strength. Good hardenability.",290 - 330,820,850,Oil,,,,,,,900,1100,700,"Aircraft landing gear power transmission, heavy duty shaft, gun barrels, suitable for shaft > 100 mm."